ids,labels,parents
Barley Brown's Brewpub - Baker City - OR - northwest,Barley Brown's Brewpub,Baker City - OR - northwest
Barley John's Brew Pub - New Brighton - MN - midwest,Barley John's Brew Pub,New Brighton - MN - midwest
Barrel Theory Beer Company - Saint Paul - MN - midwest,Barrel Theory Beer Company,Saint Paul - MN - midwest
Bearded Iris Brewing - Nashville-Davidson - TN - south,Bearded Iris Brewing,Nashville-Davidson - TN - south
Bell's Brewery - Eccentric Café & General Store - Kalamazoo - MI - great-lakes,Bell's Brewery - Eccentric Café & General Store,Kalamazoo - MI - great-lakes
Bent Paddle Brewing Co. - Duluth - MN - midwest,Bent Paddle Brewing Co.,Duluth - MN - midwest
Big Sky Brewing Company - Missoula - MT - mountain,Big Sky Brewing Company,Missoula - MT - mountain
Bissell Brothers Brewing Co. - Portland - ME - new-england,Bissell Brothers Brewing Co.,Portland - ME - new-england
Black Raven Brewing Co. - Redmond - WA - northwest,Black Raven Brewing Co.,Redmond - WA - northwest
Blackberry Farm Brewery - Maryville - TN - south,Blackberry Farm Brewery,Maryville - TN - south
Blackstone Brewing Company - Nashville-Davidson - TN - south,Blackstone Brewing Company,Nashville-Davidson - TN - south
Block 15 Brewery & Restaurant - Corvallis - OR - northwest,Block 15 Brewery & Restaurant,Corvallis - OR - northwest
Blue Mountain Brewery - Avon - VA - south-atlantic,Blue Mountain Brewery,Avon - VA - south-atlantic
Boneyard Beer Company - Bend - OR - northwest,Boneyard Beer Company,Bend - OR - northwest
Boston Beer Company (Samuel Adams) - Boston - MA - new-england,Boston Beer Company (Samuel Adams),Boston - MA - new-england
Bottle Logic Brewing - Anaheim - CA - pacific,Bottle Logic Brewing,Anaheim - CA - pacific
Boulevard Brewing Co. - Kansas City - MO - midwest,Boulevard Brewing Co.,Kansas City - MO - midwest
Brash Brewing Company - Houston - TX - southwest,Brash Brewing Company,Houston - TX - southwest
Braxton Brewing Company - Covington - KY - south,Braxton Brewing Company,Covington - KY - south
Brew Gentlemen - Braddock - PA - mid-atlantic,Brew Gentlemen,Braddock - PA - mid-atlantic
Broken Compass Brewing - Gold Hill - CO - mountain,Broken Compass Brewing,Gold Hill - CO - mountain
Bruery Terreux - Anaheim - CA - pacific,Bruery Terreux,Anaheim - CA - pacific
Bull & Bush Brewery - Denver - CO - mountain,Bull & Bush Brewery,Denver - CO - mountain
Bullfrog Brewery - Williamsport - PA - mid-atlantic,Bullfrog Brewery,Williamsport - PA - mid-atlantic
COOP Ale Works - Oklahoma City - OK - southwest,COOP Ale Works,Oklahoma City - OK - southwest
Caldera Brewing Company - Ashland - OR - northwest,Caldera Brewing Company,Ashland - OR - northwest
Calusa Brewing - Bee Ridge - FL - south-atlantic,Calusa Brewing,Bee Ridge - FL - south-atlantic
Captain Lawrence Brewing Co. - Town of Greenburgh - NY - mid-atlantic,Captain Lawrence Brewing Co.,Town of Greenburgh - NY - mid-atlantic
Carton Brewing Company - Atlantic Highlands - NJ - mid-atlantic,Carton Brewing Company,Atlantic Highlands - NJ - mid-atlantic
Casa Agria Specialty Ales - Oxnard - CA - pacific,Casa Agria Specialty Ales,Oxnard - CA - pacific
Cascade Brewing / Raccoon Lodge & Brewpub - Raleigh Hills - OR - northwest,Cascade Brewing / Raccoon Lodge & Brewpub,Raleigh Hills - OR - northwest
Casey Brewing & Blending - Glenwood Springs - CO - mountain,Casey Brewing & Blending,Glenwood Springs - CO - mountain
Casita Cerveceria - Reba - NC - south-atlantic,Casita Cerveceria,Reba - NC - south-atlantic
Cellarmaker Brewing Co. - San Francisco - CA - pacific,Cellarmaker Brewing Co.,San Francisco - CA - pacific
Central Waters Brewing Co. - Amherst - WI - great-lakes,Central Waters Brewing Co.,Amherst - WI - great-lakes
Charles Towne Fermentory - Charleston - SC - south-atlantic,Charles Towne Fermentory,Charleston - SC - south-atlantic
Cigar City Brewing - Tampa - FL - south-atlantic,Cigar City Brewing,Tampa - FL - south-atlantic
Civil Society Brewing - Jupiter - FL - south-atlantic,Civil Society Brewing,Jupiter - FL - south-atlantic
Columbus Brewing Company - Columbus - OH - great-lakes,Columbus Brewing Company,Columbus - OH - great-lakes
