,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region
829,Big Poppa,122,4.47,J. Wakefield Brewing,American Imperial Stout,15.00%,south-atlantic
830,Orange Starfish,335,4.44,Aslin Beer Company,New England IPA,5.70%,south-atlantic
831,Talking Backwards Triple IPA,80,4.49,Ocelot Brewing Company,American Imperial IPA,10.80%,south-atlantic
832,Mexican Coffee Cake,307,4.44,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic
833,Never Never Again Again,54,4.52,The Veil Brewing Co.,Leipzig Gose,5.10%,south-atlantic
834,whiteferrari,181,4.45,The Veil Brewing Co.,New England IPA,8.00%,south-atlantic
835,RareR DOS,170,4.45,Cycle Brewing,American Imperial Stout,10.00%,south-atlantic
836,Existence,39,4.55,Creature Comforts,American Imperial Stout,11.80%,south-atlantic
837,Rocky Road,94,4.47,Angry Chair Brewing,American Imperial Stout,11.00%,south-atlantic
838,Maple Bourbon Barrel Aged Hunahpu's Imperial Stout,30,4.59,Cigar City Brewing,American Imperial Stout,15.40%,south-atlantic
839,Marshal Zhukov's Imperial Stout - Bourbon Barrel Aged,99,4.46,Cigar City Brewing,American Imperial Stout,12.60%,south-atlantic
840,Bootsy,114,4.45,Green Man Brewery,American Wild Ale,9.00%,south-atlantic
841,IdonteverEVERwanttoBU,92,4.46,The Veil Brewing Co.,New England IPA,9.30%,south-atlantic
842,Mind The Hop,271,4.42,Aslin Beer Company,New England IPA,9.50%,south-atlantic
843,Woke,65,4.48,Angry Chair Brewing,English Sweet / Milk Stout,10.00%,south-atlantic
844,Cocodamia,27,4.59,Cycle Brewing,American Imperial Stout,Stout,south-atlantic
845,Mexican Cake,"2,933",4.4,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic
846,Rare Noa,46,4.51,Cycle Brewing,American Imperial Stout,Stout,south-atlantic
847,Bale,45,4.51,Aslin Beer Company,American Imperial Stout,13.50%,south-atlantic
848,Double Tapped,14,4.76,The Virginia Beer Company,New England IPA,8.00%,south-atlantic
849,Mexican Cake - Tequila Barrel-Aged,294,4.41,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic
850,Veruca Snozzberry Gose,107,4.44,Funky Buddha Brewery,Leipzig Gose,5.20%,south-atlantic
851,Duende,58,4.48,Creature Comforts,American Imperial IPA,8.00%,south-atlantic
852,Follow Your Heart Southward,40,4.51,Casita Cerveceria,American Imperial Stout,11.00%,south-atlantic
853,Stellar Parallax,180,4.41,Aslin Beer Company,New England IPA,8.10%,south-atlantic
854,Über Quench'l,51,4.48,Heist Brewery,American Imperial IPA,8.20%,south-atlantic
855,Xquic's Maple Imperial Stout,33,4.53,Cigar City Brewing,American Imperial Stout,11.00%,south-atlantic
856,Tropicália,"1,337",4.38,Creature Comforts,American IPA,6.60%,south-atlantic
857,Blurred Is The Word,91,4.43,Heist Brewery,New England IPA,6.80%,south-atlantic
858,Lumberjack Morning Break - Bourbon Barrel-Aged,18,4.65,3 Sons Brewing Company,American Imperial Stout,13.00%,south-atlantic
859,Johann The Mango Thief,110,4.42,Aslin Beer Company,New England IPA,9.40%,south-atlantic
860,We Ded Mon,134,4.41,The Veil Brewing Co.,New England IPA,11.00%,south-atlantic
861,Angry Chair / Prairie - Barrel Aged Adjunct Trail,11,4.82,Angry Chair Brewing,American Imperial Stout,11.00%,south-atlantic
862,Pulp,252,4.39,Civil Society Brewing,American Pale Wheat Ale,6.30%,south-atlantic
863,Angel Of Darkness,166,4.4,Wicked Weed Brewing,American Wild Ale,11.00%,south-atlantic
864,Marshal Zhukov's Imperial Stout,"2,939",4.37,Cigar City Brewing,Russian Imperial Stout,11.80%,south-atlantic
865,Juan de Bolas,30,4.53,Aslin Beer Company,American Imperial Stout,15.00%,south-atlantic
866,Blurred Up,42,4.48,Heist Brewery,American Imperial IPA,8.40%,south-atlantic
867,Citronious,74,4.43,Calusa Brewing,New England IPA,6.50%,south-atlantic
868,Framboos Morte,133,4.4,Wicked Weed Brewing,American Wild Ale,6.60%,south-atlantic
869,Ruse,104,4.41,Hardywood Park Craft Brewery,English Sweet / Milk Stout,11.30%,south-atlantic
870,ImdonewithU,72,4.43,The Veil Brewing Co.,New England IPA,11.00%,south-atlantic
871,Rare DOS 1,45,4.47,Cycle Brewing,American Imperial Stout,Stout,south-atlantic
872,Big Sound Scotch Ale - Bourbon Barrel Aged,669,4.37,Cigar City Brewing,Scotch Ale / Wee Heavy,8.50%,south-atlantic
873,Vanilla Espresso Piiti Porter,41,4.48,Funky Buddha Brewery,American Porter,6.30%,south-atlantic
874,German Chocolate Cupcake Stout,243,4.38,Angry Chair Brewing,English Sweet / Milk Stout,7.00%,south-atlantic
875,Dunley Place,115,4.4,Aslin Beer Company,New England IPA,8.00%,south-atlantic
876,Master Of Karate - Double Dry-Hopped,52,4.45,Aslin Beer Company,New England IPA,8.40%,south-atlantic
877,Moat Water,404,4.37,Cigar City Brewing,English Sweet / Milk Stout,10.60%,south-atlantic
878,The Event Horizon,"1,828",4.36,Olde Hickory Brewery,American Imperial Stout,11.75%,south-atlantic
879,Barrel Aged Sexual Chocolate,"1,271",4.36,Foothills Brewing Company - Downtown Brewpub,Russian Imperial Stout,9.60%,south-atlantic
880,Crucial Taunt,328,4.37,The Veil Brewing Co.,New England IPA,8.00%,south-atlantic
881,The Love Below,190,4.38,Funky Buddha Brewery,Russian Imperial Stout,12.00%,south-atlantic
882,Triple Orange Starfish,127,4.39,Aslin Beer Company,New England IPA,12.00%,south-atlantic
883,Maceo,125,4.39,Green Man Brewery,American Wild Ale,8.60%,south-atlantic
884,We We Ded Ded,57,4.43,The Veil Brewing Co.,American Imperial IPA,11.00%,south-atlantic
885,Master Of Oranges,184,4.37,Aslin Beer Company,New England IPA,8.40%,south-atlantic
886,Bourbon GBS (Gingerbread Stout),742,4.35,Hardywood Park Craft Brewery,English Sweet / Milk Stout,10.20%,south-atlantic
887,Cosmik Debris,279,4.36,Creature Comforts,American Imperial IPA,8.00%,south-atlantic
888,Golden Angel,237,4.36,Wicked Weed Brewing,American Wild Ale,7.00%,south-atlantic
889,Never Never Forever Forever,77,4.4,The Veil Brewing Co.,Leipzig Gose,5.10%,south-atlantic
890,Sungazer,50,4.43,Charles Towne Fermentory,New England IPA,6.80%,south-atlantic
891,"3 Scoops: Passionfruit, Lemonade, Mango",45,4.44,The Answer Brewpub,Berliner Weisse,3.50%,south-atlantic
892,Double Dry Hopped Dunley Place,108,4.38,Aslin Beer Company,New England IPA,8.00%,south-atlantic
893,Dirt Nap,205,4.36,The Veil Brewing Co.,New England IPA,8.80%,south-atlantic
894,Never Gonnagetit³,28,4.5,The Veil Brewing Co.,Leipzig Gose,5.30%,south-atlantic
895,Double Dry Hopped Orange Starfish,40,4.45,Aslin Beer Company,New England IPA,5.70%,south-atlantic
896,Dark Hollow Reserve: Concealed Darkness,43,4.44,Blue Mountain Brewery,American Imperial Stout,10.60%,south-atlantic
897,Cigar City / 3 Sons - Across The Alley,29,4.49,Cigar City Brewing,American Imperial Stout,14.30%,south-atlantic
898,Appalachian Walker,52,4.42,Olde Hickory Brewery,British Barleywine,10.00%,south-atlantic
899,Astro Zombie,163,4.36,Aslin Beer Company,New England IPA,6.20%,south-atlantic
900,Atrial Rubicite,"1,897",4.59,Jester King Brewery,American Wild Ale,5.80%,southwest
901,Bourbon Paradise,488,4.6,Prairie Artisan Ales,American Imperial Stout,15.90%,southwest
902,Pirate Paradise,260,4.6,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
903,Pirate Bomb!,"2,307",4.52,Prairie Artisan Ales,American Imperial Stout,15.00%,southwest
904,Montmorency Vs Balaton,856,4.52,Jester King Brewery,American Wild Ale,6.70%,southwest
905,Bomb!,"6,413",4.5,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
906,Barrel Aged Bomb!,"1,191",4.49,Prairie Artisan Ales,American Imperial Stout,11.20%,southwest
907,Aurelian Lure,734,4.49,Jester King Brewery,American Wild Ale,5.40%,southwest
908,Barrel Aged Christmas Bomb!,171,4.52,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
909,Okie Paradise,68,4.58,Prairie Artisan Ales,American Strong Ale,12.00%,southwest
910,Apple Brandy Barrel Noir,"1,660",4.48,Prairie Artisan Ales,American Imperial Stout,12.00%,southwest
911,Bière De Blanc Du Bois,289,4.45,Jester King Brewery,American Wild Ale,6.70%,southwest
912,Bière De Syrah,158,4.45,Jester King Brewery,American Wild Ale,7.30%,southwest
913,Yellow Rose,"1,899",4.41,The Lone Pint Brewery,American IPA,6.80%,southwest
914,Prairie / Evil Twin - Bible Belt - Barrel-Aged,371,4.42,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
915,Project Dank,881,4.41,La Cumbre Brewing Co.,American IPA,7.50%,southwest
916,Raspbarrel,54,4.49,American Solera,American Wild Ale,ld Ale,southwest
917,Omniscience & Proselytism,436,4.38,Jester King Brewery,American Wild Ale,5.00%,southwest
918,Bourbon Barrel Temptress,284,4.38,Lakewood Brewing Company,English Sweet / Milk Stout,11.30%,southwest
919,Birthday Bomb!,"1,264",4.36,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
920,分 桃 (Fēn Táo),511,4.36,Jester King Brewery,American Wild Ale,6.40%,southwest
921,HefeWeizen,"1,745",4.34,Live Oak Brewing Company,German Hefeweizen,5.30%,southwest
922,Elevated IPA,"1,544",4.34,La Cumbre Brewing Co.,American IPA,7.20%,southwest
923,SPON - Peach & Apricot,93,4.39,Jester King Brewery,Belgian Fruit Lambic,5.50%,southwest
924,Hammer Smashed Face,50,4.44,Brash Brewing Company,Russian Imperial Stout,15.00%,southwest
925,SPON - Raspberry & Cherry,77,4.4,Jester King Brewery,Belgian Fruit Lambic,5.40%,southwest
926,Nocturn Chrysalis,819,4.33,Jester King Brewery,American Wild Ale,5.90%,southwest
927,Benedictum,63,4.41,Real Ale Brewing Company,American Wild Ale,5.40%,southwest
928,Father Nelson,171,4.35,La Cumbre Brewing Co.,American Imperial IPA,10.60%,southwest
929,Prairie / Evil Twin - Bible Belt,"2,052",4.32,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
930,Barrel-Aged Legion,418,4.33,Community Beer Company,Russian Imperial Stout,11.60%,southwest
931,Foudreweizen,212,4.34,Jester King Brewery,Belgian Saison,5.60%,southwest
932,White Russian Imperial Stout,104,4.36,Sun Up Brewing Co.,American Imperial Stout,9.20%,southwest
933,Bourbon Barrel Aged Hellfighter,561,4.31,Karbach Brewing Co.,American Imperial Porter,10.80%,southwest
934,Full Nelson,133,4.34,La Cumbre Brewing Co.,American Imperial IPA,8.74%,southwest
935,Pumpkinator (Bourbon Barrel Aged),47,4.41,Saint Arnold Brewing Company,Pumpkin Beer,12.50%,southwest
936,Consider Yourself Hugged,227,4.32,Prairie Artisan Ales,American Imperial Stout,11.90%,southwest
937,SPON - Méthode Traditionelle,156,4.33,Jester King Brewery,Belgian Gueuze,5.80%,southwest
938,Milk The Venom,50,4.4,Brash Brewing Company,American Imperial Stout,9.00%,southwest
939,Diamonds in my Mouth,38,4.43,Spindletap Brewery,New England IPA,8.00%,southwest
940,Barrel Aged American Presidential Stout,47,4.4,Arizona Wilderness Brewing Co.,American Imperial Stout,11.50%,southwest
941,French Quarter Temptress,207,4.31,Lakewood Brewing Company,English Sweet / Milk Stout,9.10%,southwest
942,Cerveza De Tempranillo,291,4.29,Jester King Brewery,American Wild Ale,7.20%,southwest
943,Fully Adrift,55,4.36,Pinthouse Pizza Craft Brewpub,American Imperial IPA,11.00%,southwest
944,Scots Gone Wild,150,4.3,Real Ale Brewing Company,American Wild Ale,9.70%,southwest
945,Pumpkinator,990,4.27,Saint Arnold Brewing Company,Pumpkin Beer,10.00%,southwest
946,Electric Jellyfish,134,4.3,Pinthouse Pizza - South Austin,New England IPA,6.50%,southwest
947,Vulgar Display Of Power,54,4.35,Brash Brewing Company,Russian Imperial Stout,13.00%,southwest
948,Coffee Okie,445,4.27,Prairie Artisan Ales,American Brown Ale,13.00%,southwest
949,Cortado,92,4.31,Brash Brewing Company,American Imperial Stout,10.00%,southwest
950,Houston Haze,112,4.3,Spindletap Brewery,New England IPA,6.50%,southwest
951,Peche'cus,109,4.3,Freetail Brewing Company,American Wild Ale,8.20%,southwest
952,Paradise,774,4.26,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
953,Raspberry Ananke,125,4.29,Freetail Brewing Company,American Wild Ale,6.80%,southwest
954,Bourbon Barrel Hellfighter (w/ Vanilla Bean),155,4.28,Karbach Brewing Co.,American Imperial Porter,11.00%,southwest
955,Detritivore,365,4.26,Jester King Brewery,Belgian Saison,5.50%,southwest
956,Tombstone Brewing IPA,28,4.4,Tombstone Brewing Company,New England IPA,7.10%,southwest
957,Koffee Kölsch,98,4.28,Huss Brewing Co,German Kölsch,4.75%,southwest
958,DC Mountain Double IPA,80,4.29,Arizona Wilderness Brewing Co.,American Imperial IPA,8.00%,southwest
959,Acheron,55,4.31,Martin House Brewing Company,American Imperial Stout,12.00%,southwest
960,Foeder Cerise,107,4.27,American Solera,American Wild Ale,6.00%,southwest
961,Cafe Con Leche,70,4.29,La Cumbre Brewing Co.,English Sweet / Milk Stout,7.50%,southwest
962,Colour Five,308,4.24,Jester King Brewery,American Wild Ale,7.10%,southwest
963,Synthesis Analogous,81,4.28,Jester King Brewery,American Wild Ale,5.60%,southwest
964,Primus Weizenbock,282,4.24,Live Oak Brewing Company,German Weizenbock,8.30%,southwest
965,Hop Delusion,420,4.23,Karbach Brewing Co.,American Imperial IPA,9.00%,southwest
966,Bière De Lenoir,29,4.37,Jester King Brewery,American Wild Ale,6.90%,southwest
967,Old Treehugger Barleywine,94,4.26,Live Oak Brewing Company,American Barleywine,11.50%,southwest
968,Ananke,237,4.23,Freetail Brewing Company,American Wild Ale,5.80%,southwest
969,Double Barrel Noir,14,4.52,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest
970,Deconstructed Bomb! Coffee,192,4.23,Prairie Artisan Ales,American Imperial Stout,11.80%,southwest
971,Funky Gold Citra,120,4.24,Prairie Artisan Ales,American Wild Ale,7.50%,southwest
972,RU-55,714,4.21,Jester King Brewery,American Wild Ale,7.30%,southwest
973,Sputnik,156,4.23,Austin Beerworks,Russian Imperial Stout,8.00%,southwest
974,Heavy Machinery Double IPA,245,4.22,Austin Beerworks,American Imperial IPA,10.00%,southwest
975,CRU 55,36,4.32,Jester King Brewery,Flanders Red Ale,8.30%,southwest
976,Woodicus,98,4.24,Freetail Brewing Company,American Wild Ale,7.60%,southwest
977,Double Dunk,283,4.21,Prairie Artisan Ales,American Imperial Stout,11.90%,southwest
978,Pirate Noir,689,4.2,Prairie Artisan Ales,American Imperial Stout,12.00%,southwest
979,Reposé,251,4.21,Jester King Brewery,French Bière de Garde,8.30%,southwest
980,Sarcosuchus Double IPA,30,4.33,Dragoon Brewing Co.,American Imperial IPA,10.50%,southwest
981,Apricot Petite Golden Sour,26,4.35,The Collective Brewing Project,American Wild Ale,4.50%,southwest
982,Postcards from Hell,13,4.5,La Cumbre Brewing Co.,American Imperial IPA,8.00%,southwest
983,Birra di Sangiovese,38,4.29,Jester King Brewery,American Wild Ale,7.40%,southwest
984,Perpetual Peace,98,4.22,No Label Brewing Company,Scotch Ale / Wee Heavy,11.10%,southwest
985,A Nu Start DDH Triple IPA,19,4.39,Turning Point Beer,American Imperial IPA,10.00%,southwest
986,Vanilla Noir,"1,017",4.18,Prairie Artisan Ales,American Imperial Stout,11.50%,southwest
987,Funky Gold Mosaic,970,4.18,Prairie Artisan Ales,American Wild Ale,6.50%,southwest
988,Prairie Noir,937,4.18,Prairie Artisan Ales,American Imperial Stout,11.00%,southwest
989,Cranbarrel,35,4.29,American Solera,American Wild Ale,5.60%,southwest
990,Bright Black Delight,34,4.29,American Solera,American Wild Ale,5.60%,southwest
991,Sin Mint Temptress,145,4.2,Lakewood Brewing Company,English Sweet / Milk Stout,9.10%,southwest
992,Tower Station IPA,202,4.19,Mother Road Brewery,American IPA,7.30%,southwest
993,Abide,49,4.25,Brash Brewing Company,American Imperial Stout,10.00%,southwest
994,Alpha Hive Double IPA,180,4.19,COOP Ale Works,American Imperial IPA,9.10%,southwest
995,DDH Dinglebop,15,4.43,Turning Point Beer,New England IPA,8.20%,southwest
996,Prairie Hop,"1,171",4.17,Prairie Artisan Ales,Belgian Saison,8.00%,southwest
997,Boxer's Revenge,823,4.17,Jester King Brewery,American Wild Ale,10.20%,southwest
998,Funk Metal,751,4.17,Jester King Brewery,American Wild Ale,7.00%,southwest
999,Juiceton,37,4.27,Spindletap Brewery,New England IPA,8.50%,southwest
