,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region
205,Framboise Du Fermier,237,4.68,Side Project Brewing,Belgian Saison,8.00%,midwest
206,Assassin,"1,353",4.65,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest
207,Beer:Barrel:Time,164,4.67,Side Project Brewing,American Imperial Stout,15.00%,midwest
208,Fuzzy,929,4.61,Side Project Brewing,American Wild Ale,8.00%,midwest
209,King Sue,"2,566",4.6,Toppling Goliath Brewing Company,New England IPA,7.80%,midwest
210,Abricot Du Fermier,342,4.61,Side Project Brewing,Belgian Saison,8.00%,midwest
211,Maman,332,4.6,Perennial Artisan Ales,American Imperial Stout,11.50%,midwest
212,Nillerzzzzz,69,4.67,Forager Brewing Company,American Imperial Stout,14.00%,midwest
213,Pseudo Sue - Double Dry-Hopped,"1,036",4.56,Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,midwest
214,Saison Du Fermier,790,4.56,Side Project Brewing,Belgian Saison,7.00%,midwest
215,Derivation Blend #9 (Cinnamon/Maple),22,4.83,Side Project Brewing,American Imperial Stout,14.00%,midwest
216,Pseudo Sue,"5,172",4.51,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest
217,Coconut Vibes,75,4.6,Shared Brewing,Russian Imperial Stout,13.00%,midwest
218,Leaner,73,4.6,Side Project Brewing,Belgian Saison,8.00%,midwest
219,Smooth,142,4.55,Side Project Brewing,American Wild Ale,6.00%,midwest
220,Abrasive Ale,"4,678",4.5,Surly Brewing Company,American Imperial IPA,9.00%,midwest
221,Barrel-Aged Sump Coffee Stout,585,4.51,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest
222,Barrel-Aged Silhouette,497,4.51,Lift Bridge Brewery,Russian Imperial Stout,10.00%,midwest
223,La Fosse,361,4.51,Side Project Brewing,American Wild Ale,8.00%,midwest
224,Sosus,"1,835",4.49,Toppling Goliath Brewing Company,New England IPA,8.00%,midwest
225,Thicket,195,4.52,Side Project Brewing,American Wild Ale,6.00%,midwest
